subtaskID,datapointID,answer
1,801.0,0.0
2,801.0,0.25
3,801.0,0.0
4,801.0,0.0
5,801.0,1000.0
1,802.0,0.0
2,802.0,0.25
3,802.0,0.0
4,802.0,0.0
5,802.0,1000.0
1,803.0,0.0
2,803.0,0.25
3,803.0,0.0
4,803.0,0.0
5,803.0,1000.0
1,804.0,0.0
2,804.0,0.25
3,804.0,0.0
4,804.0,0.0
5,804.0,1000.0
1,805.0,0.0
2,805.0,0.25
3,805.0,0.0
4,805.0,0.0
5,805.0,1000.0
1,806.0,0.0
2,806.0,0.25
3,806.0,0.0
4,806.0,0.0
5,806.0,1000.0
1,807.0,0.0
2,807.0,0.25
3,807.0,0.0
4,807.0,0.0
5,807.0,1000.0
1,808.0,0.0
2,808.0,0.25
3,808.0,0.0
4,808.0,0.0
5,808.0,1000.0
1,809.0,0.0
2,809.0,0.25
3,809.0,0.0
4,809.0,0.0
5,809.0,1000.0
1,810.0,0.0
2,810.0,0.25
3,810.0,0.0
4,810.0,0.0
5,810.0,1000.0
1,811.0,0.0
2,811.0,0.25
3,811.0,0.0
4,811.0,0.0
5,811.0,1000.0
1,812.0,0.0
2,812.0,0.25
3,812.0,0.0
4,812.0,0.0
5,812.0,1000.0
1,813.0,0.0
2,813.0,0.25
3,813.0,0.0
4,813.0,0.0
5,813.0,1000.0
1,814.0,0.0
2,814.0,0.25
3,814.0,0.0
4,814.0,0.0
5,814.0,1000.0
1,815.0,0.0
2,815.0,0.25
3,815.0,0.0
4,815.0,0.0
5,815.0,1000.0
1,816.0,0.0
2,816.0,0.25
3,816.0,0.0
4,816.0,0.0
5,816.0,1000.0
1,817.0,0.0
2,817.0,0.25
3,817.0,0.0
4,817.0,0.0
5,817.0,1000.0
1,818.0,0.0
2,818.0,0.25
3,818.0,0.0
4,818.0,0.0
5,818.0,1000.0
1,819.0,0.0
2,819.0,0.25
3,819.0,0.0
4,819.0,0.0
5,819.0,1000.0
1,820.0,0.0
2,820.0,0.25
3,820.0,0.0
4,820.0,0.0
5,820.0,1000.0
1,821.0,0.0
2,821.0,0.25
3,821.0,0.0
4,821.0,0.0
5,821.0,1000.0
1,822.0,0.0
2,822.0,0.25
3,822.0,0.0
4,822.0,0.0
5,822.0,1000.0
1,823.0,0.0
2,823.0,0.25
3,823.0,0.0
4,823.0,0.0
5,823.0,1000.0
1,824.0,0.0
2,824.0,0.25
3,824.0,0.0
4,824.0,0.0
5,824.0,1000.0
1,825.0,0.0
2,825.0,0.25
3,825.0,0.0
4,825.0,0.0
5,825.0,1000.0
1,826.0,0.0
2,826.0,0.25
3,826.0,0.0
4,826.0,0.0
5,826.0,1000.0
1,827.0,0.0
2,827.0,0.25
3,827.0,0.0
4,827.0,0.0
5,827.0,1000.0
1,828.0,0.0
2,828.0,0.25
3,828.0,0.0
4,828.0,0.0
5,828.0,1000.0
1,829.0,0.0
2,829.0,0.25
3,829.0,0.0
4,829.0,0.0
5,829.0,1000.0
1,830.0,0.0
2,830.0,0.25
3,830.0,0.0
4,830.0,0.0
5,830.0,1000.0
1,831.0,0.0
2,831.0,0.25
3,831.0,0.0
4,831.0,0.0
5,831.0,1000.0
1,832.0,0.0
2,832.0,0.25
3,832.0,0.0
4,832.0,0.0
5,832.0,1000.0
1,833.0,0.0
2,833.0,0.25
3,833.0,0.0
4,833.0,0.0
5,833.0,1000.0
1,834.0,0.0
2,834.0,0.25
3,834.0,0.0
4,834.0,0.0
5,834.0,1000.0
1,835.0,0.0
2,835.0,0.25
3,835.0,0.0
4,835.0,0.0
5,835.0,1000.0
1,836.0,0.0
2,836.0,0.25
3,836.0,0.0
4,836.0,0.0
5,836.0,1000.0
1,837.0,0.0
2,837.0,0.25
3,837.0,0.0
4,837.0,0.0
5,837.0,1000.0
1,838.0,0.0
2,838.0,0.25
3,838.0,0.0
4,838.0,0.0
5,838.0,1000.0
1,839.0,0.0
2,839.0,0.25
3,839.0,0.0
4,839.0,0.0
5,839.0,1000.0
1,840.0,0.0
2,840.0,0.25
3,840.0,0.0
4,840.0,0.0
5,840.0,1000.0
1,841.0,0.0
2,841.0,0.25
3,841.0,0.0
4,841.0,0.0
5,841.0,1000.0
1,842.0,0.0
2,842.0,0.25
3,842.0,0.0
4,842.0,0.0
5,842.0,1000.0
1,843.0,0.0
2,843.0,0.25
3,843.0,0.0
4,843.0,0.0
5,843.0,1000.0
1,844.0,0.0
2,844.0,0.25
3,844.0,0.0
