ID,Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality,Footage_to_Lot_Ratio,Total_Rooms,Age_of_House,Garage_to_Footage_Ratio,Avg_Room_Size,Price,House_Orientation_Angle,Street_Alignment_Offset,Solar_Exposure_Index,Magnetic_Field_Strength,Vibration_Level
1,2028,2,3,1967,1.784789510533302,2,2,1136.2684439993295,5,58,0.0009861932938856,405.6,11184.929933870291,16.72214857919918,298.4095706942438,235.5028565306668,227.62157530955037,129.7708218509594
2,3519,5,3,1966,4.009947471097449,0,10,877.5676054023007,8,59,0.0,439.875,13941.315383182588,340.1156627576741,43.87899360130112,300.2920549202433,46.684432160724725,211.6769866069798
3,4507,2,3,2014,4.122336786796645,0,7,1093.3119327938914,5,11,0.0,901.4,19686.885571558512,219.82321527898773,24.542031378777686,186.85162084663756,10.837393996074818,316.7692656217252
4,3371,4,2,2000,1.5803183321940493,0,1,2133.114532259992,6,25,0.0,561.8333333333334,20964.5308414275,10.36176347280203,147.9702491304137,107.8436440633946,175.6203546758445,244.46397761842945
5,2871,5,1,1974,3.4269136197073893,2,6,837.7800897838631,6,51,0.0006966213862765,478.5,12180.466277889149,329.34452438451603,46.11446869183201,357.57180555226705,335.7197562309523,135.85074364679429
6,888,1,3,1972,3.2865756442411174,0,3,270.19003854543644,4,53,0.0,222.0,3931.546292584957,240.32078586756975,98.69783996153012,97.70737696081716,82.73762128714263,268.27730736870046
7,697,2,3,2015,2.327053107677498,1,7,299.52045258461544,5,10,0.0014347202295552,139.4,3818.258470241042,300.7088984121257,294.4681286828624,352.47777768545564,176.79446257793944,139.9414852355568
8,4201,3,1,1996,2.660213197895385,0,8,1579.1967363080526,4,29,0.0,1050.25,20792.60463258551,274.8980858975139,140.94925134401856,152.14651092489927,241.59353655095137,273.5365170342198
9,1743,4,3,2008,2.5807602961064333,0,5,675.382367990412,7,17,0.0,249.0,8853.702460895063,127.206802089379,240.55660747980585,177.2371728004255,76.04345933025516,219.6388519330445
10,3568,2,3,2022,3.9462306765570943,1,2,904.1539363616008,5,3,0.0002802690582959,713.6,16134.32269671916,193.46241705765223,231.80553127480704,115.80119627743753,75.26137453446457,196.0399168756832
11,1775,1,2,1955,4.241154677998865,2,1,418.5181005559343,3,70,0.0011267605633802,591.6666666666666,6940.759721030325,195.37058993696945,265.52962857200095,283.0601517782519,96.26473002871488,37.023333176691615
12,1791,2,1,1984,2.430432193284007,0,5,736.9059729166917,3,41,0.0,597.0,9044.909161158886,90.6416264971311,125.2113148447895,194.685751794796,331.4759790468086,48.44745615747879
13,1489,4,2,2009,0.7961529231075941,0,10,1870.24371422018,6,16,0.0,248.16666666666663,14364.654962688528,8.088950995242264,33.476630336327574,324.69847082969403,9.277055555166411,92.54256918811517
14,2743,4,2,1981,2.2014534640435284,1,5,1245.9949959431729,6,44,0.0003645643456069,457.1666666666667,14107.678761822375,124.90315268264196,348.6559599339782,34.34373983275583,173.56755561114306,60.32395414962234
15,2786,1,2,2015,1.622763858572338,2,9,1716.8240377568209,3,10,0.0007178750897343,928.6666666666666,17946.031744095788,45.92890900640296,337.3048162911826,149.94159548539642,73.6014140871383,60.58029186277662
16,1240,1,2,1951,3.5916761776211623,0,8,345.2427052656168,3,74,0.0,413.3333333333333,5120.381536955728,272.82459976717286,258.9126401780149,21.428892125197805,267.2111473916714,47.58467679139383
17,802,4,2,1990,3.6351280014653686,1,4,220.6249682753133,6,35,0.0012468827930174,133.66666666666666,3522.206771436184,36.64169014334534,357.17688533639256,218.79076401098013,198.41758628989396,298.642577645898
18,1743,1,3,2021,2.189484993505607,0,2,796.077618787085,4,4,0.0,435.75,9899.978647510106,307.0834039682496,221.9941132274657,41.37587894144406,227.3108116386155,348.9558524223044
19,2490,5,1,1950,4.16874348990752,1,10,597.3022820972941,6,75,0.0004016064257028,415.0,9399.213840914015,123.05424661123536,132.45867046875043,81.40511924988189,111.04858133621424,74.08597571619181
20,3209,2,3,1951,4.671123558489986,0,3,686.9867516493953,5,74,0.0,641.8,11906.252300751594,91.67063571495498,223.05166376321864,6.318850811986407,101.38177515802742,295.2911948201603
21,1353,5,3,1996,1.9026042283176865,1,1,711.1305545643323,8,29,0.0007390983000739,169.125,7693.086420450939,351.3067486065125,313.5488845485908,142.925414845389,126.18739234301825,28.867232452360785
22,1346,4,2,2018,1.6672478033443832,1,8,807.3185025645364,6,7,0.00074294205052,224.33333333333331,8545.142387821646,129.1789742844609,47.05573562647181,339.3807548738804,88.79710168994633,154.9928955286933
23,2698,2,3,1983,1.1105974300652568,2,4,2429.3231075111257,5,42,0.0007412898443291,539.6,19906.19315363174,94.41505594793703,338.6445282415226,9.06962902532257,325.52758490672346,160.82152873295058
24,3652,1,3,1994,2.81015694601212,1,9,1299.571543568958,4,31,0.0002738225629791,913.0,17526.94995626483,66.54760398918974,7.65698790613937,29.421124468840173,95.13945473711014,72.55021608227263
25,1036,4,3,1967,1.9321791862357665,1,10,536.1821550403484,7,58,0.0009652509652509,148.0,5510.445281901155,105.53318289396478,221.75476209366445,194.07403898496312,52.7170523770138,52.97877039418032
26,3592,1,2,2016,3.634822720478255,0,9,988.2187595458244,3,9,0.0,1197.3333333333333,16806.74665619053,263.51781905210584,314.260500915507,326.2516489875732,90.16844356529964,273.6579347244573
