subtaskID,datapointID,answer
1,5286,0
2,5286,FALSE
3,5286,0
4,5286,0
5,5286,0
1,5287,0
2,5287,FALSE
3,5287,0
4,5287,0
5,5287,0
1,5288,0
2,5288,FALSE
3,5288,0
4,5288,0
5,5288,0
1,5289,0
2,5289,FALSE
3,5289,0
4,5289,0
5,5289,0
1,5290,0
2,5290,FALSE
3,5290,0
4,5290,0
5,5290,0
1,5291,0
2,5291,FALSE
3,5291,0
4,5291,0
5,5291,0
1,5292,0
2,5292,FALSE
3,5292,0
4,5292,0
5,5292,0
1,5293,0
2,5293,FALSE
3,5293,0
4,5293,0
5,5293,0
1,5294,0
2,5294,FALSE
3,5294,0
4,5294,0
5,5294,0
1,5295,0
2,5295,FALSE
3,5295,0
4,5295,0
5,5295,0
1,5296,0
2,5296,FALSE
3,5296,0
4,5296,0
5,5296,0
1,5297,0
2,5297,FALSE
3,5297,0
4,5297,0
5,5297,0
1,5298,0
2,5298,FALSE
3,5298,0
4,5298,0
5,5298,0
1,5299,0
2,5299,FALSE
3,5299,0
4,5299,0
5,5299,0
1,5300,0
2,5300,FALSE
3,5300,0
4,5300,0
5,5300,0
1,5301,0
2,5301,FALSE
3,5301,0
4,5301,0
5,5301,0
1,5302,0
2,5302,FALSE
3,5302,0
4,5302,0
5,5302,0
1,5303,0
2,5303,FALSE
3,5303,0
4,5303,0
5,5303,0
1,5304,0
2,5304,FALSE
3,5304,0
4,5304,0
5,5304,0
1,5305,0
2,5305,FALSE
3,5305,0
4,5305,0
5,5305,0
1,5306,0
2,5306,FALSE
3,5306,0
4,5306,0
5,5306,0
1,5307,0
2,5307,FALSE
3,5307,0
4,5307,0
5,5307,0
1,5308,0
2,5308,FALSE
3,5308,0
4,5308,0
5,5308,0
1,5309,0
2,5309,FALSE
3,5309,0
4,5309,0
5,5309,0
1,5310,0
2,5310,FALSE
3,5310,0
4,5310,0
5,5310,0
1,5311,0
2,5311,FALSE
3,5311,0
4,5311,0
5,5311,0
1,5312,0
2,5312,FALSE
3,5312,0
4,5312,0
5,5312,0
1,5313,0
2,5313,FALSE
3,5313,0
4,5313,0
5,5313,0
1,5314,0
2,5314,FALSE
3,5314,0
4,5314,0
5,5314,0
1,5315,0
2,5315,FALSE
3,5315,0
4,5315,0
5,5315,0
1,5316,0
2,5316,FALSE
3,5316,0
4,5316,0
5,5316,0
1,5317,0
2,5317,FALSE
3,5317,0
4,5317,0
5,5317,0
1,5318,0
2,5318,FALSE
3,5318,0
4,5318,0
5,5318,0
1,5319,0
2,5319,FALSE
3,5319,0
4,5319,0
5,5319,0
1,5320,0
2,5320,FALSE
3,5320,0
4,5320,0
5,5320,0
1,5321,0
2,5321,FALSE
3,5321,0
4,5321,0
5,5321,0
1,5322,0
2,5322,FALSE
3,5322,0
4,5322,0
5,5322,0
1,5323,0
2,5323,FALSE
3,5323,0
4,5323,0
5,5323,0
1,5324,0
2,5324,FALSE
3,5324,0
4,5324,0
5,5324,0
1,5325,0
2,5325,FALSE
3,5325,0
4,5325,0
5,5325,0
1,5326,0
2,5326,FALSE
3,5326,0
4,5326,0
5,5326,0
1,5327,0
2,5327,FALSE
3,5327,0
4,5327,0
5,5327,0
1,5328,0
2,5328,FALSE
3,5328,0
4,5328,0
5,5328,0
1,5329,0
2,5329,FALSE
3,5329,0
4,5329,0
5,5329,0
1,5330,0
2,5330,FALSE
3,5330,0
4,5330,0
5,5330,0
1,5331,0
2,5331,FALSE
3,5331,0
4,5331,0
5,5331,0
1,5332,0
2,5332,FALSE
3,5332,0
4,5332,0
5,5332,0
1,5333,0
2,5333,FALSE
3,5333,0
4,5333,0
5,5333,0
1,5334,0
2,5334,FALSE
3,5334,0
4,5334,0
5,5334,0
1,5335,0
2,5335,FALSE
3,5335,0
4,5335,0
5,5335,0
1,5336,0
2,5336,FALSE
3,5336,0
4,5336,0
5,5336,0
1,5337,0
2,5337,FALSE
3,5337,0
4,5337,0
5,5337,0
1,5338,0
2,5338,FALSE
3,5338,0
4,5338,0
5,5338,0
1,5339,0
2,5339,FALSE
3,5339,0
4,5339,0
5,5339,0
1,5340,0
2,5340,FALSE
3,5340,0
4,5340,0
5,5340,0
1,5341,0
2,5341,FALSE
3,5341,0
4,5341,0
5,5341,0
1,5342,0
2,5342,FALSE
3,5342,0
4,5342,0
5,5342,0
1,5343,0
2,5343,FALSE
3,5343,0
4,5343,0
5,5343,0
1,5344,0
2,5344,FALSE
3,5344,0
4,5344,0
5,5344,0
1,5345,0
2,5345,FALSE
3,5345,0
4,5345,0
5,5345,0
1,5346,0
2,5346,FALSE
3,5346,0
4,5346,0
5,5346,0
1,5347,0
2,5347,FALSE
3,5347,0
4,5347,0
5,5347,0
1,5348,0
2,5348,FALSE
3,5348,0
4,5348,0
5,5348,0
1,5349,0
2,5349,FALSE
3,5349,0
4,5349,0
5,5349,0
1,5350,0
2,5350,FALSE
3,5350,0
4,5350,0
5,5350,0
1,5351,0
2,5351,FALSE
3,5351,0
4,5351,0
5,5351,0
1,5352,0
2,5352,FALSE
3,5352,0
4,5352,0
5,5352,0
1,5353,0
2,5353,FALSE
3,5353,0
4,5353,0
5,5353,0
1,5354,0
2,5354,FALSE
3,5354,0
4,5354,0
5,5354,0
1,5355,0
2,5355,FALSE
3,5355,0
4,5355,0
5,5355,0
1,5356,0
2,5356,FALSE
3,5356,0
4,5356,0
5,5356,0
1,5357,0
2,5357,FALSE
3,5357,0
4,5357,0
5,5357,0
1,5358,0
2,5358,FALSE
3,5358,0
4,5358,0
5,5358,0
1,5359,0
2,5359,FALSE
3,5359,0
4,5359,0
5,5359,0
1,5360,0
2,5360,FALSE
3,5360,0
4,5360,0
5,5360,0
1,5361,0
2,5361,FALSE
3,5361,0
4,5361,0
5,5361,0
1,5362,0
2,5362,FALSE
3,5362,0
4,5362,0
5,5362,0
1,5363,0
2,5363,FALSE
3,5363,0
4,5363,0
5,5363,0
1,5364,0
2,5364,FALSE
3,5364,0
4,5364,0
5,5364,0
1,5365,0
2,5365,FALSE
3,5365,0
4,5365,0
5,5365,0
1,5366,0
2,5366,FALSE
3,5366,0
4,5366,0
5,5366,0
1,5367,0
2,5367,FALSE
3,5367,0
4,5367,0
5,5367,0
1,5368,0
2,5368,FALSE
3,5368,0
4,5368,0
5,5368,0
1,5369,0
2,5369,FALSE
3,5369,0
4,5369,0
5,5369,0
1,5370,0
2,5370,FALSE
3,5370,0
4,5370,0
5,5370,0
1,5371,0
2,5371,FALSE
3,5371,0
4,5371,0
5,5371,0
1,5372,0
2,5372,FALSE
3,5372,0
4,5372,0
5,5372,0
1,5373,0
2,5373,FALSE
3,5373,0
4,5373,0
5,5373,0
1,5374,0
2,5374,FALSE
3,5374,0
4,5374,0
5,5374,0
1,5375,0
2,5375,FALSE
3,5375,0
4,5375,0
5,5375,0
1,5376,0
2,5376,FALSE
3,5376,0
4,5376,0
5,5376,0
1,5377,0
2,5377,FALSE
3,5377,0
4,5377,0
5,5377,0
1,5378,0
2,5378,FALSE
3,5378,0
4,5378,0
5,5378,0
1,5379,0
2,5379,FALSE
3,5379,0
4,5379,0
5,5379,0
1,5380,0
2,5380,FALSE
3,5380,0
4,5380,0
5,5380,0
1,5381,0
2,5381,FALSE
3,5381,0
4,5381,0
5,5381,0
1,5382,0
2,5382,FALSE
3,5382,0
4,5382,0
5,5382,0
1,5383,0
2,5383,FALSE
3,5383,0
4,5383,0
5,5383,0
1,5384,0
2,5384,FALSE
3,5384,0
4,5384,0
5,5384,0
1,5385,0
2,5385,FALSE
3,5385,0
4,5385,0
5,5385,0
1,5386,0
2,5386,FALSE
3,5386,0
4,5386,0
5,5386,0
1,5387,0
2,5387,FALSE
3,5387,0
4,5387,0
5,5387,0
1,5388,0
2,5388,FALSE
3,5388,0
4,5388,0
5,5388,0
1,5389,0
2,5389,FALSE
3,5389,0
4,5389,0
5,5389,0
1,5390,0
2,5390,FALSE
3,5390,0
4,5390,0
5,5390,0
1,5391,0
2,5391,FALSE
3,5391,0
4,5391,0
5,5391,0
1,5392,0
2,5392,FALSE
3,5392,0
4,5392,0
5,5392,0
1,5393,0
2,5393,FALSE
3,5393,0
4,5393,0
5,5393,0
1,5394,0
2,5394,FALSE
3,5394,0
4,5394,0
5,5394,0
1,5395,0
2,5395,FALSE
3,5395,0
4,5395,0
5,5395,0
1,5396,0
2,5396,FALSE
3,5396,0
4,5396,0
5,5396,0
1,5397,0
2,5397,FALSE
3,5397,0
4,5397,0
5,5397,0
1,5398,0
2,5398,FALSE
3,5398,0
4,5398,0
5,5398,0
1,5399,0
2,5399,FALSE
3,5399,0
4,5399,0
5,5399,0
1,5400,0
2,5400,FALSE
3,5400,0
4,5400,0
5,5400,0
1,5401,0
2,5401,FALSE
3,5401,0
4,5401,0
5,5401,0
1,5402,0
2,5402,FALSE
3,5402,0
4,5402,0
5,5402,0
1,5403,0
2,5403,FALSE
3,5403,0
4,5403,0
5,5403,0
1,5404,0
2,5404,FALSE
3,5404,0
4,5404,0
5,5404,0
1,5405,0
2,5405,FALSE
3,5405,0
4,5405,0
5,5405,0
1,5406,0
2,5406,FALSE
3,5406,0
4,5406,0
5,5406,0
1,5407,0
2,5407,FALSE
3,5407,0
4,5407,0
5,5407,0
1,5408,0
2,5408,FALSE
3,5408,0
4,5408,0
5,5408,0
1,5409,0
2,5409,FALSE
3,5409,0
4,5409,0
5,5409,0
1,5410,0
2,5410,FALSE
3,5410,0
4,5410,0
5,5410,0
1,5411,0
2,5411,FALSE
3,5411,0
4,5411,0
5,5411,0
1,5412,0
2,5412,FALSE
3,5412,0
4,5412,0
5,5412,0
1,5413,0
2,5413,FALSE
3,5413,0
4,5413,0
5,5413,0
1,5414,0
2,5414,FALSE
3,5414,0
4,5414,0
5,5414,0
1,5415,0
2,5415,FALSE
3,5415,0
4,5415,0
5,5415,0
1,5416,0
2,5416,FALSE
3,5416,0
4,5416,0
5,5416,0
1,5417,0
2,5417,FALSE
3,5417,0
4,5417,0
5,5417,0
1,5418,0
2,5418,FALSE
3,5418,0
4,5418,0
5,5418,0
1,5419,0
2,5419,FALSE
3,5419,0
4,5419,0
5,5419,0
1,5420,0
2,5420,FALSE
3,5420,0
4,5420,0
5,5420,0
1,5421,0
2,5421,FALSE
3,5421,0
4,5421,0
5,5421,0
1,5422,0
2,5422,FALSE
3,5422,0
4,5422,0
5,5422,0
1,5423,0
2,5423,FALSE
3,5423,0
4,5423,0
