subtaskID,datapointID,answer
1,"(0, 0)",67
1,"(0, 1)",67
1,"(0, 2)",67
1,"(0, 3)",67
1,"(0, 4)",67
1,"(0, 5)",67
1,"(0, 6)",67
1,"(0, 7)",67
1,"(0, 8)",67
1,"(0, 9)",67
1,"(0, 10)",67
1,"(0, 11)",67
1,"(0, 12)",67
1,"(0, 13)",67
1,"(0, 14)",67
1,"(0, 15)",67
1,"(0, 16)",67
1,"(0, 17)",67
1,"(0, 18)",67
1,"(0, 19)",67
1,"(0, 20)",67
1,"(0, 21)",67
1,"(0, 22)",67
1,"(0, 23)",67
1,"(0, 24)",67
1,"(0, 25)",67
1,"(0, 26)",67
1,"(0, 27)",67
1,"(0, 28)",67
1,"(0, 29)",67
1,"(0, 30)",67
1,"(0, 31)",67
1,"(0, 32)",67
1,"(0, 33)",67
1,"(0, 34)",67
1,"(0, 35)",67
1,"(0, 36)",67
1,"(0, 37)",67
1,"(0, 38)",67
1,"(0, 39)",67
1,"(0, 40)",67
1,"(0, 41)",67
1,"(0, 42)",67
1,"(0, 43)",67
1,"(0, 44)",67
1,"(0, 45)",67
1,"(0, 46)",67
1,"(0, 47)",67
1,"(0, 48)",67
1,"(0, 49)",67
1,"(0, 50)",67
1,"(0, 51)",67
1,"(0, 52)",67
1,"(0, 53)",67
1,"(0, 54)",67
1,"(0, 55)",67
1,"(0, 56)",67
1,"(0, 57)",67
1,"(0, 58)",67
1,"(0, 59)",67
1,"(0, 60)",67
1,"(0, 61)",67
1,"(0, 62)",67
1,"(0, 63)",67
1,"(0, 64)",67
1,"(0, 65)",67
1,"(0, 66)",67
1,"(0, 67)",67
1,"(0, 68)",67
1,"(0, 69)",67
1,"(0, 70)",67
1,"(0, 71)",67
1,"(0, 72)",67
1,"(0, 73)",67
1,"(0, 74)",67
1,"(0, 75)",67
1,"(0, 76)",67
1,"(0, 77)",67
1,"(0, 78)",67
1,"(0, 79)",67
1,"(0, 80)",67
1,"(0, 81)",67
1,"(0, 82)",67
1,"(0, 83)",67
1,"(0, 84)",67
1,"(0, 85)",67
1,"(0, 86)",67
1,"(0, 87)",67
1,"(0, 88)",67
1,"(0, 89)",67
1,"(0, 90)",67
1,"(0, 91)",67
1,"(0, 92)",67
1,"(0, 93)",67
1,"(0, 94)",67
1,"(0, 95)",67
1,"(0, 96)",67
1,"(0, 97)",67
1,"(0, 98)",67
1,"(0, 99)",67
1,"(0, 100)",67
1,"(0, 101)",67
1,"(0, 102)",67
1,"(0, 103)",67
1,"(0, 104)",67
1,"(0, 105)",67
1,"(0, 106)",67
1,"(0, 107)",67
1,"(0, 108)",67
1,"(0, 109)",67
1,"(0, 110)",67
1,"(0, 111)",67
1,"(0, 112)",67
1,"(0, 113)",67
1,"(0, 114)",67
1,"(0, 115)",67
1,"(0, 116)",67
1,"(0, 117)",67
1,"(0, 118)",67
1,"(0, 119)",67
1,"(0, 120)",67
1,"(0, 121)",67
1,"(0, 122)",67
1,"(0, 123)",67
1,"(0, 124)",67
1,"(0, 125)",67
1,"(0, 126)",67
1,"(0, 127)",67
1,"(0, 128)",67
1,"(0, 129)",67
