ID,City A,City B,Distance,Time of Day,Weather,Traffic,Road Quality,Driver Experience,deliver_time
1,Satu Mare,Suceava,352,452,Fog,154.01469142823476,370,30,355
2,Ploiesti,Timisoara,519,1386,Clear,949.697532131539,701,2,529
3,Deva,Bacau,457,91,Fog,387.01930886799784,45,26,465
4,Hunedoara,Focsani,447,1120,Clear,130.54401697395767,643,6,441
5,Hunedoara,Arad,201,1096,Clear,619.5577372138006,375,20,230
6,Resita,Craiova,272,1020,Clear,157.7775135203976,765,28,265
7,Barlad,Pitesti,406,737,Fog,370.010596238887,842,35,404
8,Pitesti,Vaslui,462,611,Clear,210.4709504191855,340,31,442
9,Targu Mures,Timisoara,346,127,Rain,632.4677480249821,405,37,349
10,Alba Iulia,Tulcea,655,414,Clear,221.20813105944404,448,36,612
11,Iasi,Slatina,588,1281,Rain,52.22755112990451,768,4,571
12,Oradea,Bucuresti,589,860,Fog,10.721582695710108,375,1,586
13,Targu Mures,Bacau,260,1206,Snow,702.8481084097508,35,34,295
14,Constanta,Sibiu,495,77,Clear,578.2238921560285,174,17,491
15,Craiova,Targu Mures,348,216,Clear,130.80998617436035,432,31,336
16,Drobeta-Turnu Severin,Targu Mures,403,1106,Fog,968.5903804033078,529,30,426
17,Constanta,Bacau,391,241,Rain,699.5109400600627,204,6,413
18,Galati,Buzau,124,1104,Clear,368.8553123025854,264,10,158
19,Barlad,Focsani,85,466,Clear,165.35475285085033,485,34,93
20,Suceava,Iasi,145,624,Fog,668.4261342617273,507,32,180
21,Constanta,Bucuresti,229,431,Clear,361.4919202761762,367,35,237
22,Buzau,Tulcea,212,688,Clear,750.0558154508333,112,31,239
23,Targu Mures,Cluj-Napoca,112,936,Clear,338.006621740357,729,5,141
24,Timisoara,Drobeta-Turnu Severin,229,1253,Rain,983.8659153300448,176,14,277
25,Timisoara,Alba Iulia,220,1199,Rain,253.20470752667524,259,17,244
26,Timisoara,Braila,705,1295,Rain,50.22381012621591,294,20,673
27,Vaslui,Slatina,523,360,Snow,121.47425965946901,307,36,503
28,Roman,Ramnicu Valcea,531,994,Clear,190.18813593504157,985,34,497
29,Deva,Timisoara,152,93,Fog,160.65103696350923,872,35,162
30,Alba Iulia,Bucuresti,347,428,Rain,627.9742060908934,553,36,350
31,Constanta,Galati,195,478,Clear,800.2831887762422,832,40,206
32,Slatina,Targoviste,133,272,Rain,621.7690938730958,566,17,165
33,Braila,Brasov,297,125,Snow,666.1423740169886,292,1,335
34,Iasi,Craiova,642,1158,Fog,612.4376273278158,107,6,652
35,Constanta,Oradea,818,120,Snow,384.82539694378727,561,18,779
36,Iasi,Pitesti,526,678,Clear,778.5583382141622,49,35,522
37,Bacau,Targoviste,322,630,Fog,236.14219701715177,344,15,339
38,Sibiu,Bucuresti,268,1066,Clear,952.035768944702,317,7,302
39,Iasi,Hunedoara,517,44,Fog,10.067153908957295,450,32,493
40,Bacau,Bucuresti,311,1322,Clear,568.7981310728383,752,27,314
41,Oradea,Bucuresti,589,670,Clear,485.8284221343804,591,6,573
42,Bucuresti,Hunedoara,396,455,Clear,779.905306601843,869,34,387
43,Vaslui,Oradea,570,340,Rain,199.1606189265489,619,10,548
44,Iasi,Braila,241,1401,Fog,133.87134354187302,346,37,260
45,Targu Mures,Baia Mare,195,165,Fog,640.2057697298361,638,38,219
46,Targu Mures,Galati,404,270,Snow,189.03883876159688,866,35,388
47,Buzau,Hunedoara,460,466,Snow,880.5078375044911,737,2,479
48,Bucuresti,Cluj-Napoca,442,217,Clear,429.7448012986499,532,12,435
49,Alba Iulia,Suceava,389,649,Clear,341.4894791308276,65,37,383
