subtaskID,datapointID,answer
1,1861,1
2,1861,1
1,354,1
2,354,1
1,1334,1
2,1334,1
1,906,1
2,906,1
1,1290,1
2,1290,1
1,1274,1
2,1274,1
1,939,1
2,939,1
1,1732,1
2,1732,1
1,66,1
2,66,1
1,1324,1
2,1324,1
1,57,1
2,57,1
1,1293,1
2,1293,1
1,1119,1
2,1119,1
1,585,1
2,585,1
1,375,1
2,375,1
1,276,1
2,276,1
1,747,1
2,747,1
1,129,1
2,129,1
1,1647,1
2,1647,1
1,1853,1
2,1853,1
1,675,1
2,675,1
1,1665,1
2,1665,1
1,1982,1
2,1982,1
1,1084,1
2,1084,1
1,1923,1
2,1923,1
1,100,1
2,100,1
1,1180,1
2,1180,1
1,965,1
2,965,1
1,793,1
2,793,1
1,30,1
2,30,1
1,629,1
2,629,1
1,945,1
2,945,1
1,573,1
2,573,1
1,908,1
2,908,1
1,1081,1
2,1081,1
1,451,1
2,451,1
1,1610,1
2,1610,1
1,1291,1
2,1291,1
1,1079,1
2,1079,1
1,255,1
2,255,1
1,125,1
2,125,1
1,1928,1
2,1928,1
1,252,1
2,252,1
1,586,1
2,586,1
1,1569,1
2,1569,1
1,825,1
2,825,1
1,508,1
2,508,1
1,890,1
2,890,1
1,71,1
2,71,1
1,1609,1
2,1609,1
1,1533,1
2,1533,1
1,248,1
2,248,1
1,1451,1
2,1451,1
1,213,1
2,213,1
1,910,1
2,910,1
1,1742,1
2,1742,1
1,1245,1
2,1245,1
1,1697,1
2,1697,1
1,1183,1
2,1183,1
1,362,1
2,362,1
1,1474,1
2,1474,1
1,679,1
2,679,1
1,1622,1
2,1622,1
1,1090,1
2,1090,1
1,1988,1
2,1988,1
1,1848,1
2,1848,1
1,988,1
2,988,1
1,1513,1
2,1513,1
1,112,1
2,112,1
1,1488,1
2,1488,1
1,1454,1
2,1454,1
1,384,1
2,384,1
1,1396,1
2,1396,1
1,1055,1
2,1055,1
1,756,1
2,756,1
1,325,1
2,325,1
1,1624,1
2,1624,1
1,788,1
2,788,1
1,369,1
2,369,1
1,1820,1
2,1820,1
1,70,1
2,70,1
1,858,1
2,858,1
1,1484,1
2,1484,1
1,1556,1
2,1556,1
1,1692,1
2,1692,1
1,1475,1
2,1475,1
1,1799,1
2,1799,1
1,479,1
2,479,1
1,282,1
2,282,1
1,1648,1
2,1648,1
1,1557,1
2,1557,1
1,1730,1
2,1730,1
1,211,1
2,211,1
1,298,1
2,298,1
1,1885,1
2,1885,1
1,1834,1
2,1834,1
1,652,1
2,652,1
1,1234,1
2,1234,1
1,1503,1
2,1503,1
1,1932,1
2,1932,1
1,917,1
2,917,1
1,994,1
2,994,1
1,430,1
2,430,1
1,1371,1
2,1371,1
1,240,1
2,240,1
1,880,1
2,880,1
1,621,1
2,621,1
1,257,1
2,257,1
1,612,1
2,612,1
1,545,1
2,545,1
1,772,1
2,772,1
1,1420,1
2,1420,1
1,1042,1
2,1042,1
1,1790,1
2,1790,1
1,760,1
2,760,1
1,383,1
2,383,1
1,1104,1
2,1104,1
1,974,1
2,974,1
1,353,1
2,353,1
1,1606,1
2,1606,1
1,1826,1
2,1826,1
1,1037,1
2,1037,1
1,1108,1
2,1108,1
1,495,1
2,495,1
1,394,1
2,394,1
1,1547,1
2,1547,1
1,465,1
2,465,1
1,887,1
2,887,1
1,1194,1
2,1194,1
1,367,1
2,367,1
1,1894,1
2,1894,1
1,1874,1
2,1874,1
1,745,1
2,745,1
1,530,1
2,530,1
1,803,1
2,803,1
1,1224,1
2,1224,1
1,1979,1
2,1979,1
1,1906,1
2,1906,1
1,1700,1
2,1700,1
1,1545,1
2,1545,1
1,1314,1
2,1314,1
1,307,1
2,307,1
1,1667,1
2,1667,1
1,863,1
2,863,1
1,1567,1
2,1567,1
1,531,1
2,531,1
1,655,1
2,655,1
1,1260,1
2,1260,1
1,234,1
2,234,1
1,121,1
2,121,1
1,1698,1
2,1698,1
1,950,1
2,950,1
1,618,1
2,618,1
1,1179,1
2,1179,1
1,308,1
2,308,1
1,136,1
2,136,1
1,555,1
2,555,1
1,1674,1
2,1674,1
1,584,1
2,584,1
1,1641,1
2,1641,1
1,671,1
2,671,1
1,835,1
2,835,1
1,110,1
2,110,1
1,1165,1
2,1165,1
1,1960,1
2,1960,1
1,1465,1
2,1465,1
1,1729,1
2,1729,1
1,1243,1
2,1243,1
1,212,1
2,212,1
1,1768,1
2,1768,1
1,1121,1
2,1121,1
1,680,1
2,680,1
1,1951,1
2,1951,1
1,1839,1
2,1839,1
1,412,1
2,412,1
1,1325,1
2,1325,1
1,783,1
2,783,1
1,1346,1
2,1346,1
1,875,1
2,875,1
1,1653,1
2,1653,1
1,1279,1
2,1279,1
1,786,1
