image_id,label,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax
img_0000,0,-1.0,-1.0,-1.0,-1.0
img_0001,0,-1.0,-1.0,-1.0,-1.0
img_0002,1,95.0,326.0,249.0,512.0
img_0003,0,-1.0,-1.0,-1.0,-1.0
img_0004,1,198.0,82.0,374.0,299.0
img_0005,1,267.0,107.0,485.0,375.0
img_0006,0,-1.0,-1.0,-1.0,-1.0
img_0007,1,150.0,141.0,378.0,418.0
img_0008,0,-1.0,-1.0,-1.0,-1.0
img_0009,1,246.0,190.0,461.0,451.0
img_0010,0,-1.0,-1.0,-1.0,-1.0
img_0011,0,-1.0,-1.0,-1.0,-1.0
img_0013,0,-1.0,-1.0,-1.0,-1.0
img_0014,0,-1.0,-1.0,-1.0,-1.0
img_0015,1,64.0,48.0,260.0,301.0
img_0016,1,378.0,44.0,512.0,217.0
img_0019,0,-1.0,-1.0,-1.0,-1.0
img_0020,1,143.0,98.0,284.0,275.0
img_0021,0,-1.0,-1.0,-1.0,-1.0
img_0022,1,188.0,16.0,402.0,276.0
img_0023,1,5.0,176.0,156.0,355.0
img_0024,0,-1.0,-1.0,-1.0,-1.0
img_0026,1,170.0,296.0,329.0,501.0
img_0027,0,-1.0,-1.0,-1.0,-1.0
img_0028,1,86.0,144.0,324.0,444.0
img_0029,1,154.0,80.0,335.0,298.0
img_0030,1,156.0,85.0,365.0,338.0
img_0031,0,-1.0,-1.0,-1.0,-1.0
img_0032,1,191.0,287.0,345.0,489.0
img_0033,1,123.0,149.0,300.0,381.0
img_0034,1,63.0,137.0,266.0,382.0
img_0035,1,8.0,20.0,186.0,231.0
img_0036,1,230.0,249.0,380.0,431.0
img_0037,1,273.0,181.0,475.0,429.0
img_0038,1,280.0,238.0,501.0,506.0
img_0039,0,-1.0,-1.0,-1.0,-1.0
img_0040,1,59.0,58.0,261.0,312.0
img_0041,0,-1.0,-1.0,-1.0,-1.0
img_0042,1,165.0,185.0,401.0,469.0
img_0045,0,-1.0,-1.0,-1.0,-1.0
img_0047,0,-1.0,-1.0,-1.0,-1.0
img_0048,0,-1.0,-1.0,-1.0,-1.0
img_0049,0,-1.0,-1.0,-1.0,-1.0
img_0050,0,-1.0,-1.0,-1.0,-1.0
img_0052,1,274.0,190.0,507.0,485.0
img_0053,0,-1.0,-1.0,-1.0,-1.0
img_0056,0,-1.0,-1.0,-1.0,-1.0
img_0058,0,-1.0,-1.0,-1.0,-1.0
img_0059,0,-1.0,-1.0,-1.0,-1.0
img_0061,0,-1.0,-1.0,-1.0,-1.0
img_0062,0,-1.0,-1.0,-1.0,-1.0
img_0063,1,126.0,195.0,355.0,478.0
img_0064,1,122.0,59.0,334.0,320.0
img_0065,0,-1.0,-1.0,-1.0,-1.0
img_0067,1,78.0,124.0,312.0,409.0
img_0069,1,300.0,154.0,465.0,347.0
img_0071,1,108.0,225.0,249.0,401.0
img_0072,0,-1.0,-1.0,-1.0,-1.0
img_0074,1,157.0,3.0,381.0,298.0
img_0075,1,197.0,244.0,350.0,427.0
img_0076,1,141.0,82.0,384.0,377.0
img_0077,1,97.0,4.0,305.0,277.0
img_0078,0,-1.0,-1.0,-1.0,-1.0
img_0079,0,-1.0,-1.0,-1.0,-1.0
img_0081,1,26.0,205.0,229.0,466.0
img_0082,1,242.0,284.0,412.0,486.0
img_0083,0,-1.0,-1.0,-1.0,-1.0
img_0084,1,53.0,38.0,284.0,325.0
img_0085,1,199.0,279.0,387.0,505.0
img_0086,1,65.0,200.0,315.0,496.0
img_0087,0,-1.0,-1.0,-1.0,-1.0
img_0088,1,213.0,45.0,382.0,262.0
img_0089,1,146.0,22.0,352.0,286.0
img_0090,1,252.0,210.0,469.0,481.0
img_0091,1,114.0,96.0,283.0,309.0
